50 5 10 37
m 6*m 6*n 0 0
m 8*m 4*n 0 0
m 25*m n 0 0
m 20*m 14*n 0 0
m 33*m 2*n 0 -5
m 8*m 18*n 5 -2
m 20*m n 0 0
m 21*m 2*n 0 0
m 20*m 3*n 0 0
m 21*m 3*n 0 0
m 22*m 3*n 0 0
m 21*m 5*n 0 0
m 22*m 4*n 0 0
m 21*m 6*n 0 0
m 23*m 8*n 0 0
m 24*m 7*n 0 0
m 22*m 8*n 0 0
m 23*m 7*n 0 0
m 24*m 8*n 0 0
m 23*m 10*n 0 0
m 25*m 10*n 0 0
m 24*m 11*n 0 0
m 23*m 12*n 0 0
m 22*m 14*n 0 0
m 24*m 13*n 0 0
m 25*m 15*n 0 0
2*m m 16*n 0 0
2*m 13*m 20*n 0 0
2*m 32*m 9*n 0 0
2*m 27*m 12*n -7 -2
2*m 19*m 21*n 5 -1
2*m m 6*n 0 0
2*m 16*m 9*n 0 0
2*m 28*m 20*n 0 0
2*m 7*m 10*n -4 -1
3*m 8*m 22*n 0 0
3*m 23*m 17*n 0 0
